,Unnamed: 0,avatar,background_image,bio,followers,following,id,join_date,join_datetime,join_time,likes,location,media,name,private,tweets,url,username,verified
10,10,https://pbs.twimg.com/profile_images/961665333063897088/5G5VKooo_400x400.jpg,https://pbs.twimg.com/profile_banners/538525553/1386802057/1500x500,"Wire service reporting Israel News, & Jewish news from the US & around the world. Mentions & RTs do not constitute endorsement.",10922,2153,538525553,27 Mar 2012,27 Mar 2012 3:21 PM,3:21 PM,473,United States,94,Jewish News Syndicate,0,30016,http://www.JNS.org,JNS_org,0
11,11,https://pbs.twimg.com/profile_images/978385169722699776/P5t0erAd_400x400.jpg,,,369,563,43189867,28 May 2009,28 May 2009 1:32 PM,1:32 PM,759,"Tucson, AZ",10,Ian Philabaum,0,370,,changomalo1,0
12,12,https://pbs.twimg.com/profile_images/1189563359395504128/Z1wvyf-D_400x400.jpg,https://pbs.twimg.com/profile_banners/847825196488765441/1583243632/1500x500,Exela Technologies – one of the largest global providers of digital platforms for Business Process Automation. Embracing Complexity. Delivering Simplicity.,899,796,847825196488765441,31 Mar 2017,31 Mar 2017 7:57 AM,7:57 AM,340,,783,Exela Technologies,0,2094,http://www.exelatech.com,ExelaTech,0
13,13,https://pbs.twimg.com/profile_images/1080861522061127680/PO_53d01_400x400.jpg,https://pbs.twimg.com/profile_banners/1079061579973439488/1546532419/1500x500,Congresswoman proudly serving the folks in Nevada's 3rd District. Bipartisan Leader. Education Advocate. Wife to Dan and mom to two great kids.,17199,232,1079061579973439488,29 Dec 2018,29 Dec 2018 9:08 AM,9:08 AM,506,,1048,Rep. Susie Lee,0,3562,http://susielee.house.gov/services,RepSusieLee,1
14,14,https://pbs.twimg.com/profile_images/1152290617143246850/RlsL1JbG_400x400.jpg,https://pbs.twimg.com/profile_banners/3099744613/1428777009/1500x500,We love #PEI & want to help you find a home on the Island. We're award winning #realtors active in the community Call us when you're ready to buy/sell your home,700,419,3099744613,20 Mar 2015,20 Mar 2015 6:51 AM,6:51 AM,1760,Prince Edward Island ,695,RE/MAX Charlottetown,0,5556,http://www.remax-charlottetownpei.com/,remaxchtown,0
15,15,https://pbs.twimg.com/profile_images/829428514956783616/7LOoXiKW_400x400.jpg,https://pbs.twimg.com/profile_banners/16369269/1588914894/1500x500,"@CountyOfLA Supervisor- Carson, Compton, Culver City, Gardena, Hawthorne, Inglewood, Lawndale, LA City, Lynwood, & unincorporated areas (2M ppl) 12/08.",21863,1057,16369269,19 Sep 2008,19 Sep 2008 12:56 PM,12:56 PM,9386,Los Angeles,10000,Mark Ridley-Thomas,0,42076,http://ridley-thomas.lacounty.gov/,mridleythomas,1
16,16,https://pbs.twimg.com/profile_images/1220830764985724928/b54a139r_400x400.jpg,https://pbs.twimg.com/profile_banners/113780858/1579903711/1500x500,"Canada's leading independent, nationally focused think tank based in Ottawa. We exist to make poor public policy unacceptable in the nation's capital.",9509,4200,113780858,12 Feb 2010,12 Feb 2010 5:15 PM,5:15 PM,2555,"Ottawa, Ontario",4681,Macdonald-Laurier Institute,0,17365,http://www.macdonaldlaurier.ca,MLInstitute,0
17,17,https://pbs.twimg.com/profile_images/1154582363118043137/DicSehf0_400x400.jpg,https://pbs.twimg.com/profile_banners/4062117022/1540393173/1500x500,🇵🇷BORICUA: Musicophile. Art enthusiast. Diversity and mental health advocate. Information hoarder. Biochem PhD student.,265,332,4062117022,28 Oct 2015,28 Oct 2015 10:22 AM,10:22 AM,3297,"Seattle, WA",12,Jennifer Lynne,0,687,,Srta_Bocanegra,0
18,18,https://pbs.twimg.com/profile_images/913458729265242112/vZtaCjZG_400x400.jpg,https://pbs.twimg.com/profile_banners/28558205/1575986005/1500x500,The Military health plan for service members & families. Following/ Retweeting does not=Endorsement. Transparency: http://www.health.mil/socialmedia ,35731,950,28558205,3 Apr 2009,3 Apr 2009 6:08 AM,6:08 AM,1748,"Falls Church, VA",3492,TRICARE,0,12440,http://tricare.mil,TRICARE,1
19,19,https://pbs.twimg.com/profile_images/1256217576444755969/X3uY0w1N_400x400.png,https://pbs.twimg.com/profile_banners/22641237/1588340622/1500x500,"#KnoxTogether #SafeTogether | With more than 2,300 investor businesses, we serve as the collective, influential voice for the regional business community.",14204,1000,22641237,3 Mar 2009,3 Mar 2009 8:26 AM,8:26 AM,3463,"Knoxville, TN",2101,Knoxville Chamber,0,8827,http://www.knoxvillechamber.com,knoxchamber,0
20,20,https://pbs.twimg.com/profile_images/789479012875796481/lr2e5e5G_400x400.jpg,https://pbs.twimg.com/profile_banners/20629645/1548805931/1500x500,"CNYCentral is your source for news, weather, entertainment & sports in Syracuse & Central New York on NBC3/WSTM, CBS5/WTVH & CW6/WSTQ.",83041,980,20629645,11 Feb 2009,11 Feb 2009 1:24 PM,1:24 PM,8877,Central New York,10900,CNYCentral,0,119712,http://www.cnycentral.com/,CNYCentral,1
21,21,https://pbs.twimg.com/profile_images/1196390222507982848/jGeoB-fy_400x400.png,https://pbs.twimg.com/profile_banners/37989554/1584738568/1500x500,"News 12 Connecticut is a 24-hour news network. Download our app or go to http://news12.com  for more. For news tips, call (203) 849-1321. #Connecticut",92798,561,37989554,5 May 2009,5 May 2009 11:50 AM,11:50 AM,97,"Norwalk, CT",6753,News12CT,0,44162,http://connecticut.news12.com/,News12CT,1
22,22,https://pbs.twimg.com/profile_images/1150904799497531397/ttT9Vtp3_400x400.png,https://pbs.twimg.com/profile_banners/1409219496/1488175704/1500x500,"7NEWS Townsville brings you the latest in local news, sport and weather weeknights at 6pm, then 6:30pm on 7TWO. Email: newstsv@seven.com.au #7NEWS",4631,119,1409219496,6 May 2013,6 May 2013 7:30 PM,7:30 PM,40,Townsville,18400,7NEWS Townsville,0,26732,http://m.me/7NEWSTownsville,7NewsTownsville,1
23,23,https://pbs.twimg.com/profile_images/1194751949821939712/3VBu4_Sa_400x400.jpg,https://pbs.twimg.com/profile_banners/1652541/1573687397/1500x500,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",21949474,1116,1652541,20 Mar 2007,20 Mar 2007 10:46 AM,10:46 AM,747,Around the world,332000,Reuters,0,532751,http://www.reuters.com,Reuters,1
24,24,https://pbs.twimg.com/profile_images/1217157030365917184/XpxshBzO_400x400.png,https://pbs.twimg.com/profile_banners/789757861546962944/1589308355/1500x500,Breaking news alerts from India.,535,19,789757861546962944,22 Oct 2016,22 Oct 2016 2:18 AM,2:18 AM,88,New Delhi,80500,DailyaddaaNews,0,148673,http://www.dailyaddaa.com/,Dailyaddaa,0
25,25,https://pbs.twimg.com/profile_images/1072787992895340545/1fKzPcKC_400x400.jpg,https://pbs.twimg.com/profile_banners/1072426070853398528/1572405883/1500x500,The Grains. Knowledge. Humility. Generosity. PhD (Educational Management).  #ClassicGroundedTheory #LeadingLearning #LearnersLeadingLearning #TherapistsConnect,183,279,1072426070853398528,11 Dec 2018,11 Dec 2018 1:41 AM,1:41 AM,8612,,313,Sarah Hajar PhD,0,8815,,CgtHajar,0
26,26,https://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_400x400.png,https://pbs.twimg.com/profile_banners/37034483/1585123208/1500x500,Breaking news alerts from India,13025406,15,37034483,1 May 2009,1 May 2009 1:34 PM,1:34 PM,0,India,338000,NDTV,0,715817,http://www.ndtv.com/,ndtv,1
27,27,https://pbs.twimg.com/profile_images/875412020073381889/kVpgWUwf_400x400.jpg,https://pbs.twimg.com/profile_banners/16950863/1552078601/1500x500,"Dallas-Fort Worth's Radio Station for News, Weather and Traffic. Streaming at http://KRLD.com/ListenLive ",39775,931,16950863,24 Oct 2008,24 Oct 2008 8:22 AM,8:22 AM,732,"Dallas, TX",20200,1080 KRLD,0,124830,http://www.krld.com/listenlive,KRLD,1
28,28,https://pbs.twimg.com/profile_images/1261727955929055232/2WdrErYe_400x400.jpg,https://pbs.twimg.com/profile_banners/400501362/1589654361/1500x500,⚡Team Winstinct⚡  Check out #LudoKlack! Join the #FabFam and #StayFabulous http://youtube.com/channel/UCYslv …,453,692,400501362,28 Oct 2011,28 Oct 2011 9:13 PM,9:13 PM,21389,USA,2303,TeaNewz🍵🗞️,0,8634,https://www.youtube.com/channel/UCYslvtiVU4Z33x_-qEjG2hg,TeaNewz,0
29,29,https://pbs.twimg.com/profile_images/1018833905082871808/F7RZerA1_400x400.jpg,https://pbs.twimg.com/profile_banners/64643056/1542716586/1500x500,"RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.",3074186,556,64643056,10 Aug 2009,10 Aug 2009 11:12 PM,11:12 PM,1000,,155000,RT,0,345675,http://RT.com,RT_com,1
30,30,https://pbs.twimg.com/profile_images/1176623244222353413/Z0TJ_bEy_400x400.jpg,https://pbs.twimg.com/profile_banners/567289542/1569690018/1500x500,"The official Twitter account of Saudi Gazette, a leading English language daily newspaper in Saudi Arabia.",144690,2,567289542,30 Apr 2012,30 Apr 2012 6:01 AM,6:01 AM,7,"Jeddah, Saudi Arabia",27100,Saudi Gazette,0,93918,http://www.saudigazette.com.sa,Saudi_Gazette,1
31,31,https://pbs.twimg.com/profile_images/1110172882368368640/pUSI1yPZ_400x400.png,https://pbs.twimg.com/profile_banners/988955288/1544778409/1500x500,"📈Real-time global financial market data, news, analysis, charts, tools & more. In 30 languages via our app or website. Free, for everyone, anywhere. 🌎",159387,559,988955288,4 Dec 2012,4 Dec 2012 7:08 AM,7:08 AM,4150,Global,7310,Investing.com,0,14763,https://www.investing.com,Investingcom,1
32,32,https://pbs.twimg.com/profile_images/877945160922955778/SyCtAv8R_400x400.jpg,https://pbs.twimg.com/profile_banners/20079730/1572477720/1500x500,"El Paso and Las Cruces News, Weather and Traffic, Coverage You Can Count On!",119377,685,20079730,4 Feb 2009,4 Feb 2009 10:56 AM,10:56 AM,1208,"El Paso, Texas",12900,KFOX14 News,0,72305,http://www.kfoxtv.com/,KFOX14,1
33,33,https://pbs.twimg.com/profile_images/1093545098816733185/edQ5v1pE_400x400.jpg,https://pbs.twimg.com/profile_banners/1093544067219292161/1549556775/1500x500,The country's FIRST all-sports FM radio station! Follow for @alabamaFTBL @AuburnTigers @Saints @WeAreSouth_Jags and LOCAL High School Football/sports news.,862,1219,1093544067219292161,7 Feb 2019,7 Feb 2019 8:16 AM,8:16 AM,2200,"Mobile, AL",198,WNSP sports radio,0,2166,http://wnsp.com,1055wnsp,0
34,34,https://pbs.twimg.com/profile_images/1181252366621974529/AEQYTtl7_400x400.jpg,https://pbs.twimg.com/profile_banners/757602799/1569719697/1500x500,Software engineer at @FINEOS. 👨🏻‍💻 Ex @SAPFrance.,36,218,757602799,14 Aug 2012,14 Aug 2012 11:00 AM,11:00 AM,133,Dublin,74,Frederic Rousseau,0,247,https://ie.linkedin.com/in/fredericrous/en,fredericrous,0
35,35,https://pbs.twimg.com/profile_images/745340944900198403/HPQkOXmg_400x400.jpg,https://pbs.twimg.com/profile_banners/23444946/1550246101/1500x500,ESPN 97.5 is Houston's first FM Sports Station!,15041,2315,23444946,9 Mar 2009,9 Mar 2009 8:04 AM,8:04 AM,2982,"Houston, TX",4674,ESPN 97.5 Houston,0,30724,http://www.espn975.com,espn975,1
36,36,https://pbs.twimg.com/profile_images/877250323471097856/USh2x60a_400x400.jpg,https://pbs.twimg.com/profile_banners/20269833/1527856365/1500x500,"http://TribLIVE.com  covers Pittsburgh and Western Pennsylvania news, sports, politics, entertainment and more. Facebook: http://www.facebook.com/triblive ",78883,183,20269833,6 Feb 2009,6 Feb 2009 12:41 PM,12:41 PM,2342,"Pittsburgh, Pa.",20200,TribLIVE.com,0,190469,http://TribLIVE.com,TribLIVE,1
37,37,https://pbs.twimg.com/profile_images/777950984127393792/vGXJWCSG_400x400.jpg,https://pbs.twimg.com/profile_banners/312692013/1475614972/1500x500,"We close the gap between potential and results with an adaptable on-demand learning experience. In short, People Grow Business. We Grow People.",3973,2949,312692013,7 Jun 2011,7 Jun 2011 7:32 AM,7:32 AM,333,St. Louis & Kansas City - USA,1638,ej4,0,8392,http://www.ej4.com,ej4video,0
38,38,https://pbs.twimg.com/profile_images/1259431896645165057/98AOdlXB_400x400.jpg,https://pbs.twimg.com/profile_banners/72438252/1589106939/1500x500,,118,56,72438252,7 Sep 2009,7 Sep 2009 6:28 PM,6:28 PM,17950,"California, USA",2848,Kat Punk 😸🗝😸🗝,0,29823,,katmom85,0
39,39,https://pbs.twimg.com/profile_images/1166788017354432512/SO_UaxYd_400x400.jpg,https://pbs.twimg.com/profile_banners/104277809/1589387914/1500x500,"Official twitter account of United Nations News, the UN's multimedia news service.  http://un.org/news/  http://facebook.com/UN.News.Centre ",477772,1167,104277809,12 Jan 2010,12 Jan 2010 1:25 PM,1:25 PM,955,,11800,UN News,0,34080,http://www.un.org/news/,UN_News_Centre,1
40,40,https://pbs.twimg.com/profile_images/966397473739755521/pxmYZTkK_400x400.jpg,https://pbs.twimg.com/profile_banners/19939139/1584374713/1500x500,Federation of American Scientists is a nonpartisan policy institute providing the public and policymakers with evidence-based scientific analysis since 1945.,18155,302,19939139,2 Feb 2009,2 Feb 2009 2:47 PM,2:47 PM,676,,499,FAS,0,8664,https://fas.org,FAScientists,0
41,41,https://pbs.twimg.com/profile_images/1041134787078115333/c_EliFBb_400x400.jpg,https://pbs.twimg.com/profile_banners/13918492/1575906635/1500x500,"We cover breaking news in Washington #DC, Maryland & Virginia. NEWS TIPS: 202-895-3000 or fox5tips@foxtv.com. Online: http://www.fox5dc.com . Facebook: FOX 5 DC",301906,5966,13918492,24 Feb 2008,24 Feb 2008 3:13 PM,3:13 PM,18136,Washington DC,47900,FOX 5 DC,0,285999,http://www.fox5dc.com,fox5dc,1
42,42,https://pbs.twimg.com/profile_images/877945508983177217/gei2N_UB_400x400.jpg,https://pbs.twimg.com/profile_banners/243811680/1572477748/1500x500,"@CBS4Local is committed to bringing the latest local news, weather and sports updates across the Borderland.",13802,509,243811680,27 Jan 2011,27 Jan 2011 1:33 PM,1:33 PM,509,"El Paso, Texas",13000,CBS4Local,0,55566,http://www.cbs4local.com,CBS4Local,1
43,43,https://pbs.twimg.com/profile_images/722495974392737792/H2CC5XMz_400x400.jpg,https://pbs.twimg.com/profile_banners/218565801/1460562164/1500x500,"Global News: From breakfast to bedtime, we've got #Montreal covered | Team on Twitter: http://bit.ly/1iB5yYg  | Like us on Facebook: http://on.fb.me/mhvdzR ",52186,1014,218565801,22 Nov 2010,22 Nov 2010 9:45 AM,9:45 AM,6734,Montreal,28300,Global Montreal,0,161419,http://www.globalnews.ca/montreal,Global_Montreal,1
44,44,https://pbs.twimg.com/profile_images/1195554309/FE-for-Facebook_400x400.jpg,https://pbs.twimg.com/profile_banners/50279781/1590121994/1500x500,"A complete up-to-date source for biz news, #finance news, #stockmarket news,  economy news online.  हिंदी में @fehindi | https://t.me/TheFinancialExpressOnline …",638306,42,50279781,24 Jun 2009,24 Jun 2009 4:29 AM,4:29 AM,53,"New Delhi, India",176000,FinancialXpress,0,356675,http://www.financialexpress.com,FinancialXpress,1
45,45,https://pbs.twimg.com/profile_images/689842696513536000/ARdJ8T9J_400x400.jpg,https://pbs.twimg.com/profile_banners/25979455/1580113726/1500x500,"Welcome to Daily Nation on Twitter, for instant breaking news alerts and happenings around you. Find us on Telegram at: http://t.me/DailyNation ",2075793,262,25979455,23 Mar 2009,23 Mar 2009 3:15 AM,3:15 AM,2291,Kenya,163000,Daily Nation,0,543145,http://www.nation.co.ke,dailynation,1
46,46,https://pbs.twimg.com/profile_images/1252745277926264833/XtQIdDbD_400x400.jpg,https://pbs.twimg.com/profile_banners/83656373/1567689614/1500x500,"CIO, Biologist, Lead @DIIMSA STEM Researcher. #climatechange Given much, much will be required...""Excellence is a Mindset""--KS",561,420,83656373,19 Oct 2009,19 Oct 2009 11:17 AM,11:17 AM,547,"Houston, TX",311,Karl Spencer,0,623,http://Diimsa.com,diimsa,0
47,47,https://pbs.twimg.com/profile_images/2627006115/8ij5wm7we780t63tv6ek_400x400.png,,"Dan Rea, a veteran Boston journalist and member of the Mass. Broadcasters Hall of Fame, hosts NightSide on WBZ 1030 AM every weeknight from 8:00pm to midnight.",9371,3479,46218350,10 Jun 2009,10 Jun 2009 1:35 PM,1:35 PM,21,Boston,283,Dan Rea,0,7976,http://wbz1030.com/nightside,WBZNightside,1
48,48,https://pbs.twimg.com/profile_images/1240049934751039488/jF-Mk5xm_400x400.jpg,https://pbs.twimg.com/profile_banners/186486026/1584488307/1500x500,,17,1,186486026,3 Sep 2010,3 Sep 2010 8:57 AM,8:57 AM,12,North SF Bay,3,Christy Alison,0,3,,amusingred,0
49,49,https://pbs.twimg.com/profile_images/2915139264/c84035a7d2eb9ede8f23fa6104dc2e5c_400x400.png,https://pbs.twimg.com/profile_banners/15163518/1567788453/1500x500,The official account of Dassault Systemes SOLIDWORKS. We reply to questions/comments Monday-Friday 9-5 EDT.,187307,378,15163518,18 Jun 2008,18 Jun 2008 3:57 PM,3:57 PM,3693,"Waltham, MA",9761,SOLIDWORKS,0,19144,http://www.solidworks.com/product/whats-new,SOLIDWORKS,0
50,50,https://pbs.twimg.com/profile_images/727959681398767618/JBqvXoHn_400x400.jpg,https://pbs.twimg.com/profile_banners/701401616/1496774402/1500x500,Grossman Roth Yaffa Cohen is an award-winning trial attorney and medical malpractice firm with decades of experience. Contact us to get the justice you deserve.,329,13,701401616,17 Jul 2012,17 Jul 2012 10:02 AM,10:02 AM,25,Florida,266,Grossman Roth Yaffa Cohen,0,4399,http://www.grossmanroth.com,GrossmanRoth,0
51,51,https://pbs.twimg.com/profile_images/938244533543895040/8gYzEF37_400x400.jpg,https://pbs.twimg.com/profile_banners/312830402/1372360895/1500x500,Wandering minstrel #musician #writer #youtuber #nerd #spiritual #complicated #hashtag,171,179,312830402,7 Jun 2011,7 Jun 2011 11:49 AM,11:49 AM,3364,"Grand Rapids, MI, USA",756,Christian Somerville,0,14643,http://www.youtube.com/user/chrstnsmrvllmsc,ChrstnSmrvllMsc,0
52,52,https://pbs.twimg.com/profile_images/975156241151463424/7BpEd99l_400x400.jpg,https://pbs.twimg.com/profile_banners/815859726/1557786355/1500x500,"Wife/Mom/Analyst/PoliWonk. Loves my kids, History, Data, Facts. #Resist #Persist #Persevere #BeBold #BeDoggedlyDetermined #ReclaimCountry and #FuckCancer🎗",2350,3396,815859726,10 Sep 2012,10 Sep 2012 12:19 PM,12:19 PM,37138,"Big City, USA",1582,Carrie's Soapbox📝,0,28842,,RiverStreet1,0
53,53,https://pbs.twimg.com/profile_images/1263146287677026306/k--m2rZ-_400x400.png,https://pbs.twimg.com/profile_banners/586305952/1579808958/1500x500,"Tech geek 👨🏻‍💻, sci-fi enthusiast 🛸, foodie 🍜, gaymer 🏳️‍🌈, and marketing/design guru. He, him, his. Views here are my own.",61,522,586305952,20 May 2012,20 May 2012 11:26 PM,11:26 PM,293,"Washington, DC",33,andrew,0,154,,andrewmh,0
54,54,https://pbs.twimg.com/profile_images/1251146355185082372/dNelwFy1_400x400.jpg,https://pbs.twimg.com/profile_banners/415208978/1589721918/1500x500,"Mostly gender and identities | “I shall do for the Welsh what they have done for me. I will drink their health”. (Charles Edward Stuart, 1746) | 🐝 🦢",3269,3944,415208978,17 Nov 2011,17 Nov 2011 5:40 PM,5:40 PM,148700,,1337,Morgan™️ ❄️,0,85493,http://morganideas.cymru,CantreBreiniol,0
55,55,https://pbs.twimg.com/profile_images/1251408360756244480/B8Vb20sX_400x400.jpg,https://pbs.twimg.com/profile_banners/1629538698/1588135617/1500x500,,1,6,1629538698,28 Jul 2013,28 Jul 2013 10:23 PM,10:23 PM,0,ssblvd,0,...,0,6,,55blvd,0
56,56,https://pbs.twimg.com/profile_images/1091056690290520064/78IJi_Rs_400x400.jpg,https://pbs.twimg.com/profile_banners/278214197/1580533759/1500x500,"Retired, MBA, LEO, 2LT, MP US Army, CMA Class 88, Air Force, Executive, Entrepreneur, Lifetime Learner, Visionary",11305,13044,278214197,6 Apr 2011,6 Apr 2011 1:56 PM,1:56 PM,0,"Spokane Valley, WA",8390,"Jeff Fortin, MBA, APUS Ambassador",0,81767,http://jfortin670.wixsite.com/enewetak,JFortin670,0
57,57,https://pbs.twimg.com/profile_images/1263549371691397120/cnDXs777_400x400.jpg,https://pbs.twimg.com/profile_banners/138870199/1588687978/1500x500,Jesus' #Rapture Prophecy The Last Day http://acceptjesustoday.com/2622.html ,2487,2235,138870199,30 Apr 2010,30 Apr 2010 2:28 PM,2:28 PM,730,Not of this world.,1729,BIBLE MAN - Eschatology Expert,0,72794,http://acceptjesustoday.com,acceptjesusnow,0
58,58,https://pbs.twimg.com/profile_images/849340407104372740/sXo2yywc_400x400.jpg,https://pbs.twimg.com/profile_banners/3311615288/1534174379/1500x500,"Seaman High School Science Teacher, PLTW Biomedical Teacher, Head Cheerleading Coach, Spirit Club Sponsor, Scout Leader, Big Sister and Mom",339,254,3311615288,10 Aug 2015,10 Aug 2015 8:40 AM,8:40 AM,1503,"Topeka, KS",742,Cassie Geis,0,1589,http://www.seamanschools.org/Domain/718,geiscas,0
59,59,https://pbs.twimg.com/profile_images/1253229587695312896/Wj9OMxm6_400x400.jpg,https://pbs.twimg.com/profile_banners/1007963637380714498/1579288210/1500x500,,19,588,1007963637380714498,16 Jun 2018,16 Jun 2018 5:30 AM,5:30 AM,91919,"New York, USA",0,SG ⁷ ∞,0,30205,,zoomshaii,0
60,60,https://pbs.twimg.com/profile_images/1103013582130753541/b9SNUb_H_400x400.jpg,https://pbs.twimg.com/profile_banners/1103013448659566592/1551816470/1500x500,Sales | Revenue Cycle Management | Healthcare Blogger | #PatientStatements #PatientPayments,1372,1212,1103013448659566592,5 Mar 2019,5 Mar 2019 11:24 AM,11:24 AM,361,,671,Derek Griffin,0,3792,,Derek_Griffin1,0
61,61,https://pbs.twimg.com/profile_images/1197937283959267328/NCeISXQm_400x400.jpg,https://pbs.twimg.com/profile_banners/17869267/1576542066/1500x500,"NASW's Official Twitter Feed - National Association of Social Workers, National Office, Washington DC. RTs, Favs are not endorsements.",48465,4610,17869267,4 Dec 2008,4 Dec 2008 7:04 AM,7:04 AM,6240,"Washington, DC",4886,NASW,0,13739,http://www.socialworkers.org,nasw,0
62,62,https://pbs.twimg.com/profile_images/948248175889891328/j_B7zk8o_400x400.jpg,https://pbs.twimg.com/profile_banners/18249251/1503427501/1500x500,Content is for informational purposes only and does not contain legal or other advice and/or opinions. Retweets are not endorsements. http://buff.ly/2vxUhpi ,12273,630,18249251,19 Dec 2008,19 Dec 2008 11:33 AM,11:33 AM,1715,41 locations,3350,GreenbergTraurig LLP,0,17148,http://www.gtlaw.com,GT_Law,1
63,63,https://pbs.twimg.com/profile_images/1235660981138677760/bl6XQjRv_400x400.jpg,https://pbs.twimg.com/profile_banners/999683160429363200/1583439512/1500x500,,748,2221,999683160429363200,24 May 2018,24 May 2018 9:06 AM,9:06 AM,84,,0,P5y0p,0,0,,Coronavirus123C,0
64,64,https://pbs.twimg.com/profile_images/2545037974/wsrylt44io8tjhsildr8_400x400.jpeg,,Building Your Social Media War Room,495,376,597715969,2 Jun 2012,2 Jun 2012 1:18 PM,1:18 PM,1662,"Cork, Ireland",3081,Soisialta,0,99274,,Soisialta,0
65,65,https://pbs.twimg.com/profile_images/985834402767867905/CxbBKfcX_400x400.jpg,https://pbs.twimg.com/profile_banners/1107018043/1544168729/1500x500,Hi! I'm SEO. I'm a crazy🤯 programmer I have no life.,40,50,1107018043,20 Jan 2013,20 Jan 2013 10:54 AM,10:54 AM,156,KENshi,18,JAC,0,253,,TwIstedJAC,0
