bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets
0,0.0,1.0,0.0,1,0,355,457,7,31861,22023
1,0.0,0.0,1.0,1,0,449,512,3,21706,27131
1,0.0,0.0,0.0,0,0,751,828,1,4826,9194
1,0.0,0.0,1.0,1,0,6037,5330,1,4656,5296
1,0.0,1.0,0.0,1,0,959,849,13,4344,15373
0,0.0,0.0,0.0,1,0,201,191,3,48,6781
1,0.0,0.0,1.0,0,0,340,519,2,13095,23587
0,0.0,1.0,0.0,1,0,767,599,3,15252,9473
0,0.0,0.0,1.0,1,1,262,235,0,3700,3750
1,0.0,0.0,1.0,0,0,128,416,0,8527,15069
1,0.0,0.0,1.0,0,0,634,627,3,22267,49285
0,0.0,1.0,1.0,1,0,717,1239,8,7493,8339
0,0.0,0.0,1.0,1,0,455,221,29,2657,7740
0,0.0,1.0,0.0,1,0,5689,2150,268,101741,89502
0,0.0,0.0,1.0,1,0,378,316,0,18557,19235
1,0.0,0.0,1.0,1,1,175,1,4,15,40035
0,0.0,0.0,0.0,1,0,108,121,0,12834,7930
0,0.0,0.0,0.0,1,0,3793,1684,65,9489,51093
0,0.0,0.0,0.0,1,0,3904,2628,43,126170,91466
0,0.0,0.0,1.0,1,0,203,53,0,37285,9789
1,0.0,0.0,0.0,1,0,367,1112,4,8193,12027
0,0.0,1.0,1.0,1,0,413,807,4,44743,14899
0,0.0,1.0,0.0,1,1,507,4806,13,63712,21507
1,0.0,0.0,1.0,1,0,301,863,0,546,3938
0,0.0,0.0,1.0,1,0,94,241,1,6679,4081
1,0.0,0.0,0.0,0,0,414,328,4,3833,8112
0,0.0,0.0,1.0,0,1,8,8,0,199,313
0,0.0,0.0,0.0,1,0,403,632,1,920,370
1,0.0,0.0,1.0,0,1,26,60,0,21,4429
1,0.0,0.0,1.0,0,0,435,618,3,9185,10888
0,0.0,1.0,1.0,1,0,250,195,1,12813,2787
1,0.0,0.0,1.0,0,0,475,144,1,4685,15247
1,0.0,0.0,1.0,1,0,1412,1244,1,5808,3447
0,0.0,0.0,0.0,1,0,603,284,8,73820,29162
1,0.0,0.0,1.0,0,1,15,42,0,168,352
1,0.0,0.0,1.0,0,0,701,1056,3,7006,19814
0,0.0,1.0,1.0,0,0,217,2064,1,54256,53928
1,0.0,0.0,1.0,0,0,158,59,0,2100,4645
1,0.0,0.0,1.0,1,0,2,153,0,3594,3032
1,0.0,0.0,1.0,0,0,144,69,0,2137,4766
1,0.0,0.0,1.0,0,0,289,381,1,1201,6057
1,0.0,1.0,0.0,1,0,419,511,0,1652,9448
1,0.0,0.0,1.0,0,0,514,0,2,5792,11040
0,0.0,0.0,1.0,0,0,5,13,0,123,4090
0,0.0,1.0,1.0,1,0,443,674,2,35600,14053
0,0.0,1.0,1.0,1,0,281,1249,1,5741,2658
1,0.0,0.0,1.0,1,0,258,548,0,2490,3812
0,0.0,0.0,1.0,1,0,354,764,1,6152,1244
0,0.0,1.0,1.0,0,0,760,411,8,24617,40490
1,0.0,0.0,1.0,0,0,313,397,0,191,3313
0,0.0,1.0,1.0,0,0,179,261,13,3,3893
0,0.0,1.0,1.0,1,0,173,1062,8,25054,8554
0,0.0,0.0,0.0,0,0,524,726,17,2592,36541
0,0.0,1.0,1.0,1,0,183,333,0,11086,7708
1,0.0,0.0,1.0,1,0,281,699,0,2005,3101
1,0.0,0.0,1.0,0,1,188,202,0,19,2115
0,0.0,1.0,1.0,1,0,421,788,8,10775,26433
0,0.0,1.0,0.0,1,0,2249,2220,12,969,2662
1,0.0,0.0,1.0,1,0,28,1,0,2203,2623
0,0.0,1.0,0.0,1,0,865,902,6,8050,9823
0,0.0,0.0,0.0,1,1,145,326,0,4721,4931
0,0.0,1.0,0.0,1,0,545,740,22,2359,75615
1,0.0,1.0,0.0,0,0,388,465,6,1621,13034
1,0.0,0.0,0.0,0,0,1231,4937,43,16563,21431
0,0.0,0.0,1.0,0,0,48,271,1,6959,4411
1,0.0,1.0,1.0,0,0,925,1059,4,12203,36083
1,0.0,0.0,1.0,0,0,527,737,1,6293,8789
0,0.0,1.0,1.0,1,0,561,516,1,3686,7612
0,0.0,0.0,1.0,1,0,769,719,2,3932,4298
0,0.0,1.0,1.0,1,0,1312,1094,6,76225,54465
0,0.0,1.0,1.0,1,0,310,515,5,45776,28955
0,0.0,0.0,1.0,0,1,0,2,0,9,1455
1,0.0,0.0,1.0,0,0,23,82,0,1,903
0,0.0,1.0,1.0,0,1,119,117,0,100,5555
0,0.0,0.0,0.0,1,0,1443,1334,4,1360,55272
0,0.0,0.0,1.0,1,0,193,455,0,7177,1472
1,0.0,0.0,1.0,0,1,16,9,0,3,465
0,0.0,0.0,1.0,1,1,573,1365,4,15812,12209
0,0.0,0.0,1.0,1,1,2026,99,34,62377,45928
1,0.0,0.0,1.0,0,0,257,198,0,1692,4264
0,0.0,0.0,1.0,1,1,162,253,1,4100,2641
1,0.0,1.0,0.0,0,0,194,242,1,2786,18758
0,0.0,0.0,1.0,1,1,353,996,0,38774,2882
1,0.0,0.0,1.0,0,0,14,5,0,19,296
1,0.0,1.0,0.0,1,0,1313,2333,8,34541,32135
0,0.0,0.0,1.0,1,0,42,37,0,1161,901
1,0.0,0.0,1.0,0,0,35,47,0,580,943
0,0.0,0.0,1.0,1,0,594,1218,3,20488,16181
1,0.0,0.0,1.0,0,0,75,57,0,2081,2274
1,0.0,0.0,1.0,1,0,8960,9671,24,41695,55293
1,0.0,0.0,1.0,0,0,260,142,23,54,8321
0,0.0,0.0,0.0,1,0,435,4999,1,1922,3886
0,0.0,0.0,1.0,1,0,836,550,9,71106,21867
0,0.0,0.0,0.0,1,0,324,1028,0,30189,11712
1,0.0,0.0,0.0,1,1,24114,2301,8390,12480,1013273
0,0.0,1.0,0.0,1,0,2123,1297,4,16632,56570
0,0.0,1.0,1.0,0,0,159,241,0,7375,5666
0,0.0,1.0,1.0,0,0,125,362,1,11305,1818
0,0.0,1.0,0.0,1,0,163,171,2,33114,5534
1,0.0,0.0,1.0,0,0,157,254,0,1181,3601
1,0.0,0.0,1.0,0,0,627,1215,6,8386,15062
0,0.0,0.0,1.0,0,0,42,283,0,2657,509
0,0.0,1.0,1.0,1,0,856,2713,213,1828,53970
0,0.0,0.0,1.0,1,1,31,21,0,2589,2610
0,0.0,0.0,1.0,1,0,213,900,0,283,2302
0,0.0,0.0,0.0,1,0,1465,1876,40,39610,65895
0,0.0,0.0,1.0,1,0,1181,1436,38,65082,15582
0,0.0,0.0,0.0,1,0,3749,3507,27,28570,21977
0,0.0,1.0,0.0,0,0,481,206,25,64479,77965
1,0.0,1.0,0.0,0,0,601,684,2,21918,21307
0,0.0,0.0,0.0,1,0,87,276,0,2171,2072
0,0.0,1.0,0.0,1,0,262,413,15,30964,26799
0,0.0,1.0,1.0,1,0,769,537,3,11173,23341
0,0.0,0.0,1.0,1,0,76,26,0,1392,1229
0,0.0,1.0,0.0,1,0,87971,949,729,3578,29463
1,0.0,0.0,1.0,1,0,9,235,0,2090,2085
1,0.0,1.0,0.0,0,0,760,804,1,5544,24844
1,0.0,0.0,1.0,0,0,723,1347,1,6256,12413
0,0.0,0.0,0.0,1,0,2501,1073,31,25181,25906
1,0.0,1.0,1.0,1,0,253,289,0,3853,5713
1,0.0,0.0,1.0,0,0,693,1175,2,6003,11021
0,0.0,0.0,0.0,1,0,1517,2971,15,127242,36571
0,0.0,0.0,1.0,1,0,72,246,0,6135,1813
0,0.0,0.0,1.0,1,1,81,243,0,568,4337
0,0.0,0.0,1.0,1,0,588,244,2,18051,16043
1,0.0,0.0,1.0,0,0,14,15,0,1403,1526
0,0.0,0.0,0.0,1,0,313,291,0,32033,14741
1,0.0,0.0,1.0,0,0,72,116,0,866,3484
1,0.0,0.0,1.0,0,0,38,9,0,2097,2983
1,0.0,1.0,1.0,1,0,263,489,2,8602,11979
1,0.0,0.0,1.0,0,0,121,50,0,2202,4772
1,0.0,1.0,1.0,0,0,1167,1508,10,23199,62145
0,0.0,1.0,0.0,1,0,248,644,2,3359,5502
1,0.0,0.0,0.0,0,0,296,463,0,3527,9443
0,0.0,0.0,1.0,1,0,882,1615,24,9177,14689
1,0.0,1.0,0.0,1,0,1968,1882,6,1534,9474
0,0.0,1.0,0.0,1,0,377,415,33,10611,25872
0,0.0,0.0,1.0,0,0,26,48,0,15244,2175
1,0.0,1.0,0.0,0,0,594,927,3,8227,15344
1,0.0,1.0,1.0,0,0,343,622,0,1769,6926
1,0.0,0.0,0.0,0,0,287,165,3,13081,36223
0,0.0,0.0,0.0,1,0,127,328,0,976,1748
0,0.0,1.0,0.0,1,0,772,657,1,19630,10620
0,0.0,0.0,1.0,0,0,11,39,0,507,475
0,0.0,0.0,1.0,0,0,308,408,0,15138,14196
0,0.0,0.0,1.0,1,0,197,191,0,4215,1968
1,0.0,1.0,0.0,1,0,952,1162,2,6629,21569
1,0.0,0.0,1.0,1,1,12,14,0,12,454
1,0.0,0.0,1.0,0,1,19,6,0,26,1495
1,0.0,1.0,0.0,1,0,432,469,1,15131,9089
1,0.0,0.0,1.0,0,0,14,117,0,1124,537
1,0.0,0.0,0.0,1,0,292,420,0,198,2998
0,0.0,0.0,1.0,1,0,131,51,0,588,16907
1,0.0,0.0,1.0,1,0,210,224,0,5,2006
0,0.0,1.0,0.0,1,0,38,0,3,5294,18632
1,0.0,0.0,0.0,1,0,7242,1431,35,15364,16955
0,0.0,0.0,1.0,1,0,59,186,0,1841,1878
1,0.0,0.0,1.0,0,0,0,100,0,26,371
0,0.0,0.0,1.0,0,0,200,196,0,11378,8947
1,0.0,1.0,1.0,1,0,215,340,0,122,2013
1,0.0,0.0,1.0,1,0,148,229,1,5600,14023
0,0.0,0.0,1.0,0,0,30,7,0,209,4469
1,0.0,0.0,1.0,1,0,40473,32522,560,519004,145520
1,0.0,0.0,0.0,0,0,792,1675,4,2499,16498
1,0.0,1.0,1.0,0,0,310,710,0,1845,6700
0,0.0,0.0,1.0,1,1,27,55,0,1147,2965
0,0.0,1.0,1.0,1,0,1475,1946,27,30047,57298
0,0.0,1.0,1.0,1,0,13120,7964,164,66507,201085
1,0.0,1.0,1.0,0,0,445,88,1,2974,4661
1,0.0,0.0,1.0,1,0,11,14,0,4,1496
0,0.0,0.0,0.0,0,0,69,227,0,8526,1622
0,0.0,0.0,1.0,1,1,65,68,0,964,1242
0,0.0,1.0,0.0,1,0,3966,273,37,12940,22448
0,0.0,0.0,1.0,1,0,1536,2814,4,1599,3326
0,0.0,1.0,1.0,1,0,1481,3897,1,12240,11668
0,0.0,0.0,0.0,1,0,1624,944,29,15313,12597
0,0.0,1.0,1.0,0,1,675,339,58,82215,88127
1,0.0,0.0,1.0,0,0,329,449,1,205,2419
1,0.0,0.0,1.0,0,0,101,4,1,8818,11519
0,0.0,0.0,0.0,1,0,1388,869,9,23221,9424
0,0.0,0.0,1.0,1,0,310877,1345,1782,355,27235
1,0.0,0.0,0.0,1,0,395,184,1,14846,5743
0,0.0,0.0,1.0,1,0,441,1239,0,1454,2688
0,0.0,0.0,1.0,0,0,39,289,0,4140,1601
0,0.0,0.0,1.0,1,0,215,645,16,24983,18083
0,0.0,0.0,1.0,1,0,130,105,0,18789,5213
0,0.0,1.0,0.0,1,0,543,2247,1,4001,4383
1,0.0,0.0,1.0,0,0,19,38,0,2790,2039
0,0.0,1.0,0.0,1,0,1044,677,44,20109,65490
0,0.0,0.0,1.0,1,0,169,388,0,12641,13601
0,0.0,1.0,1.0,1,0,129,425,11,5782,8892
1,0.0,0.0,1.0,0,0,501,913,1,4495,7204
1,0.0,0.0,1.0,0,1,40,26,0,3300,3448
0,0.0,0.0,0.0,1,0,332,477,169,812,4926
1,0.0,0.0,1.0,0,0,262,22,3,5902,8877
0,0.0,0.0,1.0,1,0,473,969,4,14496,19663
1,0.0,0.0,1.0,0,0,292,615,0,1316,5039
1,0.0,1.0,1.0,1,0,604,134,32,8727,8554
1,0.0,0.0,1.0,0,0,2,30,0,2198,2198
0,0.0,1.0,0.0,1,0,1160,1226,48,42236,96148
0,0.0,1.0,0.0,1,0,363,2151,4,3184,3622
0,0.0,1.0,1.0,1,0,166,293,1,17997,7727
0,0.0,1.0,0.0,1,0,1869,1856,56,27842,53575
1,0.0,1.0,1.0,1,0,256,358,0,7561,5614
0,0.0,0.0,0.0,1,0,5270,1053,99,57697,84358
1,0.0,1.0,0.0,1,0,632,1667,31,88228,21931
1,0.0,0.0,1.0,1,0,224,466,1,1545,5020
0,0.0,1.0,0.0,1,0,249,238,3,24581,10282
0,0.0,1.0,0.0,1,1,1238,2865,36,38050,43086
0,0.0,1.0,0.0,1,0,5125,606,41,66882,92406
1,0.0,0.0,1.0,1,0,470,483,1,5878,15710
1,0.0,0.0,1.0,0,1,41,688,0,1360,2181
1,0.0,1.0,0.0,1,0,711,1000,9,7453,25762
1,0.0,1.0,1.0,1,0,238,412,0,1666,3521
0,0.0,0.0,1.0,1,0,349,242,4,15315,15138
0,0.0,1.0,1.0,1,0,6626,4978,20,96621,32498
1,0.0,0.0,1.0,0,0,31,36,0,6,4376
1,0.0,0.0,1.0,0,0,145,143,0,2055,3099
1,0.0,1.0,1.0,0,0,164,117,0,2284,3277
1,0.0,0.0,1.0,0,0,30,55,0,2,5263
1,0.0,0.0,1.0,1,0,273,544,0,2288,3559
0,0.0,0.0,1.0,1,0,1518,633,28,371,7965
0,0.0,1.0,1.0,1,0,573,575,7,8356,6724
1,0.0,0.0,1.0,1,0,6,16,0,4029,423
1,0.0,0.0,1.0,0,0,278,402,0,233,3236
1,0.0,0.0,0.0,1,0,711,736,1,13156,20155
1,0.0,0.0,1.0,1,0,321,0,0,228,2667
0,0.0,0.0,1.0,1,0,257,652,0,17727,9579
0,0.0,0.0,1.0,1,0,229,159,2,19618,9495
0,0.0,0.0,0.0,1,0,127,380,0,7243,7985
1,0.0,0.0,1.0,1,0,54,87,31,8226,8159
1,0.0,0.0,1.0,0,0,233,845,1,2084,3341
1,0.0,1.0,1.0,0,0,606,845,3,4214,17413
0,0.0,1.0,1.0,1,0,1435,1043,31,32802,53067
0,0.0,1.0,1.0,1,0,107,516,1,7611,3241
1,0.0,0.0,1.0,1,0,283,545,0,2480,3923
1,0.0,0.0,1.0,0,0,182,415,0,478,3461
1,0.0,0.0,1.0,0,0,140,52,0,1746,4939
1,0.0,1.0,0.0,1,1,7482,3333,124,67609,222413
0,0.0,0.0,1.0,1,1,74,100,0,58,655
1,0.0,0.0,0.0,0,0,575,496,3,5286,7033
1,0.0,0.0,1.0,1,0,68,69,0,901,5078
1,0.0,0.0,1.0,0,1,3,1,2,564333,715011
1,0.0,0.0,0.0,1,0,128,192,18,4985,4942
1,0.0,1.0,1.0,0,0,132,191,1,5396,5821
1,0.0,0.0,1.0,0,0,151,64,0,1850,5421
0,0.0,0.0,1.0,1,0,72,97,0,85,913
0,0.0,0.0,0.0,1,0,66,77,5,1318,4641
1,0.0,0.0,1.0,0,0,240,536,0,14096,23480
1,0.0,1.0,0.0,1,0,320,424,0,253,3140
0,0.0,0.0,0.0,1,0,4664,819,21,64573,31618
0,0.0,0.0,1.0,1,0,3201,1160,21,26538,7907
1,0.0,0.0,1.0,0,0,333,995,1,3819,5967
0,0.0,1.0,0.0,1,0,6933,1461,178,8796,15482
0,0.0,0.0,1.0,1,0,360,598,0,32910,7199
1,0.0,0.0,1.0,0,1,7,12,0,77,1904
1,0.0,0.0,1.0,0,1,4,0,0,0,297
1,0.0,0.0,1.0,1,0,88,109,0,9120,2917
1,0.0,0.0,1.0,1,1,57,1118,0,2055,1114
0,0.0,0.0,1.0,1,1,16,32,0,533,648
0,0.0,1.0,1.0,0,0,84,97,0,11559,4348
0,0.0,0.0,0.0,1,0,2860,4316,38,19597,40178
1,0.0,0.0,1.0,0,0,131,84,0,9,16301
1,0.0,0.0,0.0,0,0,148,141,4,7970,6802
0,0.0,1.0,0.0,1,0,1238,1424,11,14922,60803
1,0.0,0.0,1.0,1,0,2502,4158,5,8833,5421
1,0.0,0.0,1.0,0,0,261,249,3,18,27592
0,0.0,1.0,0.0,0,0,173,458,3,4348,2293
0,0.0,0.0,1.0,1,1,844,873,7,8858,6866
0,0.0,0.0,1.0,0,1,19,16,0,13,98
0,0.0,0.0,1.0,1,0,453,573,0,302,4334
0,0.0,1.0,0.0,1,0,1404,385,31,14969,51071
1,0.0,0.0,1.0,1,0,286,564,0,2511,3915
1,0.0,0.0,1.0,0,0,303,673,0,12224,14335
1,0.0,0.0,0.0,1,0,573,779,0,4654,9677
0,0.0,0.0,0.0,1,0,829,747,24,23677,42575
0,0.0,0.0,0.0,1,0,3538,4451,5,17409,54355
1,0.0,0.0,1.0,0,0,79,64,0,546,3584
0,0.0,1.0,1.0,1,0,152,133,1,3119,5101
0,0.0,0.0,1.0,1,0,1125,1257,15,58209,56864
0,0.0,0.0,1.0,1,1,646,1755,2,10531,4808
1,0.0,1.0,0.0,1,0,614,383,13,57353,57910
1,0.0,1.0,0.0,1,0,2020,1183,10,64404,17557
0,0.0,1.0,0.0,1,0,2476,1725,52,3421,116571
1,0.0,1.0,0.0,1,0,942,748,24,62690,53431
1,0.0,1.0,1.0,1,0,215,374,1,13486,10282
0,0.0,0.0,1.0,1,0,427,1996,0,5972,4469
0,0.0,0.0,0.0,1,0,185,160,3,7702,44320
0,0.0,0.0,1.0,1,0,273,219,0,19300,9476
1,0.0,1.0,1.0,0,0,373,583,0,13516,23470
0,0.0,0.0,1.0,1,0,283,332,11,48311,17572
0,0.0,0.0,1.0,1,0,223,902,7,16571,8308
0,0.0,0.0,0.0,1,0,8066,2146,89,41472,34265
1,0.0,0.0,1.0,0,0,50,84,24,8646,7281
1,0.0,0.0,1.0,0,0,93,181,0,3647,4576
1,0.0,0.0,1.0,0,0,264,358,1,564,4539
0,0.0,0.0,1.0,1,1,241,232,0,4731,6496
0,0.0,1.0,0.0,1,0,2653,857,69,29943,167139
1,0.0,1.0,1.0,1,0,219,63,13,10204,4517
0,0.0,0.0,1.0,1,0,182,175,0,21626,7898
0,0.0,1.0,1.0,0,0,160,687,0,4919,2041
1,0.0,1.0,1.0,0,0,261,445,2,729,7467
0,0.0,1.0,0.0,1,0,1594,363,28,20551,62095
0,0.0,0.0,1.0,0,0,263,418,7,23880,39601
1,0.0,0.0,1.0,0,0,30,71,0,177,1993
1,0.0,1.0,1.0,1,0,319,237,1,6579,23673
1,0.0,0.0,1.0,0,0,382,0,1,0,5334
1,0.0,0.0,0.0,0,0,542,445,0,5983,11454
1,0.0,0.0,1.0,0,0,7,10,0,4111,4111
1,0.0,1.0,0.0,0,0,582,499,3,3087,33761
1,0.0,0.0,1.0,0,0,459,898,2,148,7698
1,0.0,0.0,1.0,0,0,28,47,19,6803,6789
0,0.0,1.0,1.0,1,0,783,603,1,15500,7959
1,0.0,0.0,1.0,0,0,292,424,1,650,4669
0,0.0,0.0,1.0,1,0,1752,2946,33,34916,43984
0,0.0,0.0,0.0,1,0,1806,579,24,54281,39140
1,0.0,0.0,1.0,1,0,46,121,0,710,609
1,0.0,0.0,1.0,0,0,297,557,0,3016,4133
0,0.0,0.0,0.0,1,0,286,527,11,46531,35242
0,0.0,0.0,0.0,1,0,642,430,2,7072,8350
1,0.0,0.0,0.0,1,0,190,150,0,314,5796
1,0.0,1.0,1.0,0,0,1139,69,24,19970,43862
1,0.0,0.0,1.0,0,0,204,233,1,8906,6511
0,0.0,0.0,1.0,1,0,1065,109,76,22336,62687
1,0.0,0.0,0.0,1,0,351,784,1,15654,8407
1,0.0,0.0,1.0,0,0,236,108,1,15,22973
0,0.0,0.0,0.0,1,0,367,942,4,24171,5634
0,0.0,0.0,0.0,0,0,2108,3613,72,101971,161880
0,0.0,1.0,1.0,1,0,135,218,1,58,6337
0,0.0,0.0,1.0,0,0,83,176,0,5266,2793
1,0.0,1.0,1.0,0,0,170,49,0,874,1919
1,0.0,0.0,1.0,0,0,220,517,0,1681,2787
0,0.0,1.0,1.0,1,0,437,510,5,27708,30978
1,0.0,0.0,0.0,0,0,184,136,0,2381,5167
1,0.0,1.0,1.0,1,0,20154,4565,407,162835,122908
1,0.0,1.0,1.0,0,0,565,804,3,9932,26654
1,0.0,1.0,1.0,0,0,236,237,2,74,13044
